Disease Name,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptoms_text,Precaution 1,Precaution 2,Precaution 3,Precaution 4,Suggested Doctor
Acanthosis Nigricans,Flaky skin,Pain,Discoloration,Redness,Swelling,Scaly patches,Dark velvety patches in body folds,Avoid sun exposure,Stay hydrated,Use medicated cream,Wear loose clothing,Skin Specialist
Acanthosis Nigricans,Pain,Swelling slight,Redness again,"Discoloration ,",Scaly patches severe,Flaky skin,"Pain Swelling slight Redness again Discoloration , Scaly patches severe Flaky skin",Avoid sun exposure,Stay hydrated,Use medicated cream,Wear loose clothing,Skin Specialist
Acanthosis Nigricans,Scaly patches severe,Flaky skin severe,Pain also,Discoloration .,Swelling,Redness,Scaly patches severe Flaky skin severe Pain also Discoloration . Swelling Redness,Avoid sun exposure,Stay hydrated,Use medicated cream,Wear loose clothing,Skin Specialist
Acanthosis Nigricans,Discoloration slight,Flaky skin slight,Scaly patches,Swelling again,Pain again,Redness notice,Discoloration slight Flaky skin slight Scaly patches Swelling again Pain again Redness notice,Avoid sun exposure,Stay hydrated,Use medicated cream,Wear loose clothing,Skin Specialist
Acanthosis Nigricans,Swelling notice,Discoloration .,Scaly patches again,Redness severe,"Flaky skin ,",Pain notice,"Swelling notice Discoloration . Scaly patches again Redness severe Flaky skin , Pain notice",Avoid sun exposure,Stay hydrated,Use medicated cream,Wear loose clothing,Skin Specialist
Acanthosis Nigricans,Scaly patches,Flaky skin .,Swelling also,Discoloration notice,Pain also,Redness .,Scaly patches Flaky skin . Swelling also Discoloration notice Pain also Redness .,Avoid sun exposure,Stay hydrated,Use medicated cream,Wear loose clothing,Skin Specialist
Acanthosis Nigricans,Redness slight,"Flaky skin ,",Pain .,"Discoloration ,",Scaly patches feeling,Swelling .,"Redness slight Flaky skin , Pain . Discoloration , Scaly patches feeling Swelling .",Avoid sun exposure,Stay hydrated,Use medicated cream,Wear loose clothing,Skin Specialist
Acanthosis Nigricans,Pain feeling,Redness,"Flaky skin ,",Discoloration .,Swelling notice,Scaly patches again,"Pain feeling Redness Flaky skin , Discoloration . Swelling notice Scaly patches again",Avoid sun exposure,Stay hydrated,Use medicated cream,Wear loose clothing,Skin Specialist
Acanthosis Nigricans,Discoloration notice,Flaky skin,Redness,Scaly patches feeling,Pain .,Swelling notice,Discoloration notice Flaky skin Redness Scaly patches feeling Pain . Swelling notice,Avoid sun exposure,Stay hydrated,Use medicated cream,Wear loose clothing,Skin Specialist
Acanthosis Nigricans,Scaly patches again,Pain feeling,Redness notice,Flaky skin again,Discoloration slight,Swelling also,Scaly patches again Pain feeling Redness notice Flaky skin again Discoloration slight Swelling also,Avoid sun exposure,Stay hydrated,Use medicated cream,Wear loose clothing,Skin Specialist
Acne and Rosacea,Pimples,Blackheads,Redness,Oily skin,Visible blood vessels,Facial swelling,Pimples Blackheads Redness Oily skin Visible blood vessels Facial swelling,Wash face twice daily,Use gentle cleansers,Avoid heavy makeup,Apply sunscreen,Dermatologist
Acne and Rosacea,"Blackheads ,",Oily skin severe,Redness severe,Pimples also,Facial swelling severe,Visible blood vessels again,"Blackheads , Oily skin severe Redness severe Pimples also Facial swelling severe Visible blood vessels again",Wash face twice daily,Use gentle cleansers,Avoid heavy makeup,Apply sunscreen,Dermatologist
Acne and Rosacea,Redness,Facial swelling severe,Visible blood vessels,Oily skin notice,Blackheads slight,Pimples,Redness Facial swelling severe Visible blood vessels Oily skin notice Blackheads slight Pimples,Wash face twice daily,Use gentle cleansers,Avoid heavy makeup,Apply sunscreen,Dermatologist
Acne and Rosacea,"Pimples ,",Blackheads severe,"Facial swelling ,",Visible blood vessels .,"Redness ,",Oily skin slight,"Pimples , Blackheads severe Facial swelling , Visible blood vessels . Redness , Oily skin slight",Wash face twice daily,Use gentle cleansers,Avoid heavy makeup,Apply sunscreen,Dermatologist
Acne and Rosacea,Facial swelling .,Redness .,Oily skin,Visible blood vessels notice,"Pimples ,",Blackheads notice,"Facial swelling . Redness . Oily skin Visible blood vessels notice Pimples , Blackheads notice",Wash face twice daily,Use gentle cleansers,Avoid heavy makeup,Apply sunscreen,Dermatologist
Acne and Rosacea,"Visible blood vessels ,",Oily skin .,Redness notice,Blackheads feeling,Facial swelling .,Pimples .,"Visible blood vessels , Oily skin . Redness notice Blackheads feeling Facial swelling . Pimples .",Wash face twice daily,Use gentle cleansers,Avoid heavy makeup,Apply sunscreen,Dermatologist
Acne and Rosacea,Redness,Facial swelling,Blackheads again,Visible blood vessels feeling,Oily skin slight,Pimples also,Redness Facial swelling Blackheads again Visible blood vessels feeling Oily skin slight Pimples also,Wash face twice daily,Use gentle cleansers,Avoid heavy makeup,Apply sunscreen,Dermatologist
Acne and Rosacea,Facial swelling again,Pimples .,Blackheads also,Visible blood vessels slight,Redness slight,Oily skin feeling,Facial swelling again Pimples . Blackheads also Visible blood vessels slight Redness slight Oily skin feeling,Wash face twice daily,Use gentle cleansers,Avoid heavy makeup,Apply sunscreen,Dermatologist
Acne and Rosacea,Facial swelling .,Blackheads .,Redness again,Visible blood vessels,"Pimples ,",Oily skin feeling,"Facial swelling . Blackheads . Redness again Visible blood vessels Pimples , Oily skin feeling",Wash face twice daily,Use gentle cleansers,Avoid heavy makeup,Apply sunscreen,Dermatologist
Acne and Rosacea,Redness also,Facial swelling feeling,Oily skin also,Visible blood vessels again,Blackheads notice,Pimples again,Redness also Facial swelling feeling Oily skin also Visible blood vessels again Blackheads notice Pimples again,Wash face twice daily,Use gentle cleansers,Avoid heavy makeup,Apply sunscreen,Dermatologist
"Actinic Keratosis, Basal Cell Carcinoma, etc.",Rough scaly patches,Crusty growths,Skin discoloration,Bleeding sores,New lumps or bumps,Non-healing ulcers,Rough scaly patches Crusty growths Skin discoloration Bleeding sores New lumps or bumps Non-healing ulcers,Use SPF 30+ sunscreen,Avoid tanning beds,Wear protective clothing,Visit dermatologist regularly,"Oncologist, Dermatologist"
"Actinic Keratosis, Basal Cell Carcinoma, etc.",Non-healing ulcers .,Crusty growths,Skin discoloration .,"Bleeding sores ,",New lumps or bumps again,Rough scaly patches again,"Non-healing ulcers . Crusty growths Skin discoloration . Bleeding sores , New lumps or bumps again Rough scaly patches again",Use SPF 30+ sunscreen,Avoid tanning beds,Wear protective clothing,Visit dermatologist regularly,"Oncologist, Dermatologist"
"Actinic Keratosis, Basal Cell Carcinoma, etc.",Bleeding sores .,Crusty growths .,Skin discoloration also,Non-healing ulcers,New lumps or bumps severe,Rough scaly patches slight,Bleeding sores . Crusty growths . Skin discoloration also Non-healing ulcers New lumps or bumps severe Rough scaly patches slight,Use SPF 30+ sunscreen,Avoid tanning beds,Wear protective clothing,Visit dermatologist regularly,"Oncologist, Dermatologist"
"Actinic Keratosis, Basal Cell Carcinoma, etc.",Skin discoloration .,Crusty growths feeling,Bleeding sores again,Rough scaly patches feeling,Non-healing ulcers also,New lumps or bumps .,Skin discoloration . Crusty growths feeling Bleeding sores again Rough scaly patches feeling Non-healing ulcers also New lumps or bumps .,Use SPF 30+ sunscreen,Avoid tanning beds,Wear protective clothing,Visit dermatologist regularly,"Oncologist, Dermatologist"
"Actinic Keratosis, Basal Cell Carcinoma, etc.",New lumps or bumps .,Bleeding sores also,Crusty growths slight,"Rough scaly patches ,",Non-healing ulcers severe,Skin discoloration severe,"New lumps or bumps . Bleeding sores also Crusty growths slight Rough scaly patches , Non-healing ulcers severe Skin discoloration severe",Use SPF 30+ sunscreen,Avoid tanning beds,Wear protective clothing,Visit dermatologist regularly,"Oncologist, Dermatologist"
"Actinic Keratosis, Basal Cell Carcinoma, etc.",Bleeding sores,New lumps or bumps feeling,Skin discoloration slight,Non-healing ulcers notice,"Crusty growths ,",Rough scaly patches notice,"Bleeding sores New lumps or bumps feeling Skin discoloration slight Non-healing ulcers notice Crusty growths , Rough scaly patches notice",Use SPF 30+ sunscreen,Avoid tanning beds,Wear protective clothing,Visit dermatologist regularly,"Oncologist, Dermatologist"
"Actinic Keratosis, Basal Cell Carcinoma, etc.",Bleeding sores again,"New lumps or bumps ,",Crusty growths,"Skin discoloration ,",Non-healing ulcers severe,"Rough scaly patches ,","Bleeding sores again New lumps or bumps , Crusty growths Skin discoloration , Non-healing ulcers severe Rough scaly patches ,",Use SPF 30+ sunscreen,Avoid tanning beds,Wear protective clothing,Visit dermatologist regularly,"Oncologist, Dermatologist"
"Actinic Keratosis, Basal Cell Carcinoma, etc.",New lumps or bumps slight,Rough scaly patches,Skin discoloration .,Bleeding sores feeling,"Crusty growths ,",Non-healing ulcers again,"New lumps or bumps slight Rough scaly patches Skin discoloration . Bleeding sores feeling Crusty growths , Non-healing ulcers again",Use SPF 30+ sunscreen,Avoid tanning beds,Wear protective clothing,Visit dermatologist regularly,"Oncologist, Dermatologist"
"Actinic Keratosis, Basal Cell Carcinoma, etc.",New lumps or bumps notice,"Rough scaly patches ,",Skin discoloration again,Bleeding sores again,Non-healing ulcers notice,Crusty growths slight,"New lumps or bumps notice Rough scaly patches , Skin discoloration again Bleeding sores again Non-healing ulcers notice Crusty growths slight",Use SPF 30+ sunscreen,Avoid tanning beds,Wear protective clothing,Visit dermatologist regularly,"Oncologist, Dermatologist"
"Actinic Keratosis, Basal Cell Carcinoma, etc.",Skin discoloration again,"New lumps or bumps ,",Non-healing ulcers again,Bleeding sores again,Crusty growths slight,"Rough scaly patches ,","Skin discoloration again New lumps or bumps , Non-healing ulcers again Bleeding sores again Crusty growths slight Rough scaly patches ,",Use SPF 30+ sunscreen,Avoid tanning beds,Wear protective clothing,Visit dermatologist regularly,"Oncologist, Dermatologist"
Alopecia Areata,Swelling,Burning sensation,Itching,Oozing,Blisters,Scaly patches,Rapid hair loss in patches,Use antifungal soap,Avoid allergens,Use medicated cream,Keep skin moisturized,Skin Specialist
Alopecia Areata,Blisters feeling,Swelling .,Itching .,Scaly patches slight,Burning sensation slight,Oozing notice,Blisters feeling Swelling . Itching . Scaly patches slight Burning sensation slight Oozing notice,Use antifungal soap,Avoid allergens,Use medicated cream,Keep skin moisturized,Skin Specialist
Alopecia Areata,Oozing notice,Itching again,Blisters again,Burning sensation notice,Swelling also,"Scaly patches ,","Oozing notice Itching again Blisters again Burning sensation notice Swelling also Scaly patches ,",Use antifungal soap,Avoid allergens,Use medicated cream,Keep skin moisturized,Skin Specialist
Alopecia Areata,"Blisters ,",Swelling severe,Oozing again,Scaly patches also,Burning sensation notice,Itching notice,"Blisters , Swelling severe Oozing again Scaly patches also Burning sensation notice Itching notice",Use antifungal soap,Avoid allergens,Use medicated cream,Keep skin moisturized,Skin Specialist
Alopecia Areata,Swelling again,Burning sensation notice,Scaly patches,Blisters feeling,Itching severe,Oozing slight,Swelling again Burning sensation notice Scaly patches Blisters feeling Itching severe Oozing slight,Use antifungal soap,Avoid allergens,Use medicated cream,Keep skin moisturized,Skin Specialist
Alopecia Areata,Swelling slight,Oozing again,Blisters slight,Burning sensation,Itching also,Scaly patches feeling,Swelling slight Oozing again Blisters slight Burning sensation Itching also Scaly patches feeling,Use antifungal soap,Avoid allergens,Use medicated cream,Keep skin moisturized,Skin Specialist
Alopecia Areata,Blisters,Scaly patches slight,Burning sensation notice,Oozing also,Itching severe,Swelling .,Blisters Scaly patches slight Burning sensation notice Oozing also Itching severe Swelling .,Use antifungal soap,Avoid allergens,Use medicated cream,Keep skin moisturized,Skin Specialist
Alopecia Areata,Scaly patches again,Burning sensation also,"Swelling ,",Itching .,Blisters notice,Oozing feeling,"Scaly patches again Burning sensation also Swelling , Itching . Blisters notice Oozing feeling",Use antifungal soap,Avoid allergens,Use medicated cream,Keep skin moisturized,Skin Specialist
Alopecia Areata,Swelling notice,"Oozing ,",Burning sensation feeling,"Itching ,",Scaly patches notice,Blisters slight,"Swelling notice Oozing , Burning sensation feeling Itching , Scaly patches notice Blisters slight",Use antifungal soap,Avoid allergens,Use medicated cream,Keep skin moisturized,Skin Specialist
Alopecia Areata,"Itching ,",Swelling also,Oozing severe,Burning sensation also,Blisters notice,Scaly patches notice,"Itching , Swelling also Oozing severe Burning sensation also Blisters notice Scaly patches notice",Use antifungal soap,Avoid allergens,Use medicated cream,Keep skin moisturized,Skin Specialist
Atopic Dermatitis,Itchy skin,Red patches,Dryness,Cracked skin,Swelling,Fluid-filled bumps,Itchy skin Red patches Dryness Cracked skin Swelling Fluid-filled bumps,Moisturize frequently,Avoid scratching,Use mild soap,Wear cotton clothes,"Dermatologist, Allergist"
Atopic Dermatitis,Cracked skin notice,Swelling feeling,"Fluid-filled bumps ,",Itchy skin severe,Red patches again,Dryness notice,"Cracked skin notice Swelling feeling Fluid-filled bumps , Itchy skin severe Red patches again Dryness notice",Moisturize frequently,Avoid scratching,Use mild soap,Wear cotton clothes,"Dermatologist, Allergist"
Atopic Dermatitis,Swelling severe,Cracked skin slight,Itchy skin severe,Dryness again,Fluid-filled bumps feeling,Red patches feeling,Swelling severe Cracked skin slight Itchy skin severe Dryness again Fluid-filled bumps feeling Red patches feeling,Moisturize frequently,Avoid scratching,Use mild soap,Wear cotton clothes,"Dermatologist, Allergist"
Atopic Dermatitis,Itchy skin feeling,Fluid-filled bumps severe,Swelling severe,Red patches also,Cracked skin again,Dryness also,Itchy skin feeling Fluid-filled bumps severe Swelling severe Red patches also Cracked skin again Dryness also,Moisturize frequently,Avoid scratching,Use mild soap,Wear cotton clothes,"Dermatologist, Allergist"
Atopic Dermatitis,Dryness severe,Swelling,Red patches feeling,Itchy skin severe,Fluid-filled bumps .,Cracked skin .,Dryness severe Swelling Red patches feeling Itchy skin severe Fluid-filled bumps . Cracked skin .,Moisturize frequently,Avoid scratching,Use mild soap,Wear cotton clothes,"Dermatologist, Allergist"
Atopic Dermatitis,Dryness slight,Swelling again,Cracked skin feeling,Fluid-filled bumps feeling,Itchy skin slight,"Red patches ,","Dryness slight Swelling again Cracked skin feeling Fluid-filled bumps feeling Itchy skin slight Red patches ,",Moisturize frequently,Avoid scratching,Use mild soap,Wear cotton clothes,"Dermatologist, Allergist"
Atopic Dermatitis,"Cracked skin ,",Swelling severe,"Dryness ,",Red patches again,Itchy skin also,Fluid-filled bumps again,"Cracked skin , Swelling severe Dryness , Red patches again Itchy skin also Fluid-filled bumps again",Moisturize frequently,Avoid scratching,Use mild soap,Wear cotton clothes,"Dermatologist, Allergist"
Atopic Dermatitis,Itchy skin,Dryness again,Swelling slight,Fluid-filled bumps again,Red patches severe,Cracked skin notice,Itchy skin Dryness again Swelling slight Fluid-filled bumps again Red patches severe Cracked skin notice,Moisturize frequently,Avoid scratching,Use mild soap,Wear cotton clothes,"Dermatologist, Allergist"
Atopic Dermatitis,Itchy skin slight,Fluid-filled bumps,Swelling severe,Red patches severe,Cracked skin again,Dryness,Itchy skin slight Fluid-filled bumps Swelling severe Red patches severe Cracked skin again Dryness,Moisturize frequently,Avoid scratching,Use mild soap,Wear cotton clothes,"Dermatologist, Allergist"
Atopic Dermatitis,Cracked skin again,Swelling,Fluid-filled bumps,Dryness notice,"Red patches ,",Itchy skin .,"Cracked skin again Swelling Fluid-filled bumps Dryness notice Red patches , Itchy skin .",Moisturize frequently,Avoid scratching,Use mild soap,Wear cotton clothes,"Dermatologist, Allergist"
Cellulitis,Blisters,Itching,Swelling,Oozing,Scaly patches,Redness,Skin redness with fever and swelling,Avoid scratching,Keep skin moisturized,Use medicated cream,Use antifungal soap,Dermatologist
Cellulitis,Scaly patches again,Itching slight,"Blisters ,",Redness slight,Swelling slight,Oozing again,"Scaly patches again Itching slight Blisters , Redness slight Swelling slight Oozing again",Avoid scratching,Keep skin moisturized,Use medicated cream,Use antifungal soap,Dermatologist
Cellulitis,Scaly patches again,Itching also,Redness also,Blisters .,"Swelling ,",Oozing notice,"Scaly patches again Itching also Redness also Blisters . Swelling , Oozing notice",Avoid scratching,Keep skin moisturized,Use medicated cream,Use antifungal soap,Dermatologist
Cellulitis,Redness notice,Swelling severe,Oozing also,Scaly patches also,Itching,Blisters again,Redness notice Swelling severe Oozing also Scaly patches also Itching Blisters again,Avoid scratching,Keep skin moisturized,Use medicated cream,Use antifungal soap,Dermatologist
Cellulitis,Blisters feeling,Oozing slight,Swelling also,Scaly patches notice,Itching feeling,Redness feeling,Blisters feeling Oozing slight Swelling also Scaly patches notice Itching feeling Redness feeling,Avoid scratching,Keep skin moisturized,Use medicated cream,Use antifungal soap,Dermatologist
Cellulitis,Itching again,Scaly patches feeling,Swelling .,Oozing,Redness also,Blisters .,Itching again Scaly patches feeling Swelling . Oozing Redness also Blisters .,Avoid scratching,Keep skin moisturized,Use medicated cream,Use antifungal soap,Dermatologist
Cellulitis,Oozing also,Scaly patches also,Swelling notice,Itching again,Redness feeling,Blisters also,Oozing also Scaly patches also Swelling notice Itching again Redness feeling Blisters also,Avoid scratching,Keep skin moisturized,Use medicated cream,Use antifungal soap,Dermatologist
Cellulitis,Oozing notice,Redness also,Swelling also,Scaly patches again,Itching feeling,Blisters,Oozing notice Redness also Swelling also Scaly patches again Itching feeling Blisters,Avoid scratching,Keep skin moisturized,Use medicated cream,Use antifungal soap,Dermatologist
Cellulitis,Scaly patches feeling,Swelling feeling,Blisters again,Itching feeling,Oozing .,Redness feeling,Scaly patches feeling Swelling feeling Blisters again Itching feeling Oozing . Redness feeling,Avoid scratching,Keep skin moisturized,Use medicated cream,Use antifungal soap,Dermatologist
Cellulitis,"Oozing ,","Itching ,",Redness again,Blisters again,"Swelling ,",Scaly patches again,"Oozing , Itching , Redness again Blisters again Swelling , Scaly patches again",Avoid scratching,Keep skin moisturized,Use medicated cream,Use antifungal soap,Dermatologist
"Cellulitis, Impetigo, Bacterial Infections",Redness,Swelling,Warmth,Pus or discharge,Blisters,Fever,Redness Swelling Warmth Pus or discharge Blisters Fever,Keep wounds clean,Use antibiotics as prescribed,Avoid touching infected area,Wash hands regularly,"Infectious Disease Specialist, Dermatologist"
"Cellulitis, Impetigo, Bacterial Infections",Blisters slight,Swelling .,Redness,Warmth,Fever slight,Pus or discharge feeling,Blisters slight Swelling . Redness Warmth Fever slight Pus or discharge feeling,Keep wounds clean,Use antibiotics as prescribed,Avoid touching infected area,Wash hands regularly,"Infectious Disease Specialist, Dermatologist"
"Cellulitis, Impetigo, Bacterial Infections",Redness again,Warmth,Fever .,Pus or discharge severe,Blisters .,Swelling,Redness again Warmth Fever . Pus or discharge severe Blisters . Swelling,Keep wounds clean,Use antibiotics as prescribed,Avoid touching infected area,Wash hands regularly,"Infectious Disease Specialist, Dermatologist"
"Cellulitis, Impetigo, Bacterial Infections",Swelling,Pus or discharge .,Warmth,Fever,Blisters feeling,Redness also,Swelling Pus or discharge . Warmth Fever Blisters feeling Redness also,Keep wounds clean,Use antibiotics as prescribed,Avoid touching infected area,Wash hands regularly,"Infectious Disease Specialist, Dermatologist"
"Cellulitis, Impetigo, Bacterial Infections",Redness again,Fever .,Pus or discharge notice,Swelling feeling,Warmth again,Blisters also,Redness again Fever . Pus or discharge notice Swelling feeling Warmth again Blisters also,Keep wounds clean,Use antibiotics as prescribed,Avoid touching infected area,Wash hands regularly,"Infectious Disease Specialist, Dermatologist"
"Cellulitis, Impetigo, Bacterial Infections",Redness notice,Swelling .,Pus or discharge slight,"Blisters ,",Fever notice,Warmth slight,"Redness notice Swelling . Pus or discharge slight Blisters , Fever notice Warmth slight",Keep wounds clean,Use antibiotics as prescribed,Avoid touching infected area,Wash hands regularly,"Infectious Disease Specialist, Dermatologist"
"Cellulitis, Impetigo, Bacterial Infections",Pus or discharge again,Warmth,Swelling severe,"Fever ,",Blisters again,"Redness ,","Pus or discharge again Warmth Swelling severe Fever , Blisters again Redness ,",Keep wounds clean,Use antibiotics as prescribed,Avoid touching infected area,Wash hands regularly,"Infectious Disease Specialist, Dermatologist"
"Cellulitis, Impetigo, Bacterial Infections",Fever again,Warmth slight,Blisters also,Pus or discharge again,Redness notice,Swelling also,Fever again Warmth slight Blisters also Pus or discharge again Redness notice Swelling also,Keep wounds clean,Use antibiotics as prescribed,Avoid touching infected area,Wash hands regularly,"Infectious Disease Specialist, Dermatologist"
"Cellulitis, Impetigo, Bacterial Infections",Pus or discharge severe,Warmth notice,Blisters also,Swelling again,"Redness ,",Fever,"Pus or discharge severe Warmth notice Blisters also Swelling again Redness , Fever",Keep wounds clean,Use antibiotics as prescribed,Avoid touching infected area,Wash hands regularly,"Infectious Disease Specialist, Dermatologist"
"Cellulitis, Impetigo, Bacterial Infections",Warmth notice,Redness feeling,Blisters feeling,"Pus or discharge ,",Fever also,Swelling again,"Warmth notice Redness feeling Blisters feeling Pus or discharge , Fever also Swelling again",Keep wounds clean,Use antibiotics as prescribed,Avoid touching infected area,Wash hands regularly,"Infectious Disease Specialist, Dermatologist"
Cystic Acne,Discoloration,Oozing,Itching,Pain,Redness,Burning sensation,Painful pus-filled bumps on the skin,Maintain hygiene,Avoid allergens,Avoid scratching,Use medicated cream,Dermatologist
Cystic Acne,Oozing slight,Redness notice,"Burning sensation ,",Pain notice,Itching also,Discoloration notice,"Oozing slight Redness notice Burning sensation , Pain notice Itching also Discoloration notice",Maintain hygiene,Avoid allergens,Avoid scratching,Use medicated cream,Dermatologist
Cystic Acne,Burning sensation also,Pain slight,Oozing,Redness .,Itching .,Discoloration .,Burning sensation also Pain slight Oozing Redness . Itching . Discoloration .,Maintain hygiene,Avoid allergens,Avoid scratching,Use medicated cream,Dermatologist
Cystic Acne,Discoloration,Oozing also,Itching,"Redness ,",Burning sensation severe,"Pain ,","Discoloration Oozing also Itching Redness , Burning sensation severe Pain ,",Maintain hygiene,Avoid allergens,Avoid scratching,Use medicated cream,Dermatologist
Cystic Acne,Redness again,"Itching ,",Oozing feeling,Burning sensation again,Discoloration notice,Pain,"Redness again Itching , Oozing feeling Burning sensation again Discoloration notice Pain",Maintain hygiene,Avoid allergens,Avoid scratching,Use medicated cream,Dermatologist
Cystic Acne,Itching notice,Pain also,Burning sensation slight,Oozing,Redness,Discoloration severe,Itching notice Pain also Burning sensation slight Oozing Redness Discoloration severe,Maintain hygiene,Avoid allergens,Avoid scratching,Use medicated cream,Dermatologist
Cystic Acne,Discoloration also,Pain notice,Burning sensation again,Oozing feeling,Redness slight,Itching notice,Discoloration also Pain notice Burning sensation again Oozing feeling Redness slight Itching notice,Maintain hygiene,Avoid allergens,Avoid scratching,Use medicated cream,Dermatologist
Cystic Acne,Redness again,Discoloration,Oozing .,Itching severe,Burning sensation severe,Pain notice,Redness again Discoloration Oozing . Itching severe Burning sensation severe Pain notice,Maintain hygiene,Avoid allergens,Avoid scratching,Use medicated cream,Dermatologist
Cystic Acne,"Redness ,",Itching severe,Oozing also,Discoloration notice,Pain feeling,Burning sensation,"Redness , Itching severe Oozing also Discoloration notice Pain feeling Burning sensation",Maintain hygiene,Avoid allergens,Avoid scratching,Use medicated cream,Dermatologist
Cystic Acne,Itching,Burning sensation .,Pain also,Discoloration,Oozing severe,Redness slight,Itching Burning sensation . Pain also Discoloration Oozing severe Redness slight,Maintain hygiene,Avoid allergens,Avoid scratching,Use medicated cream,Dermatologist
Dyshidrotic Eczema,Blisters,Swelling,Redness,Flaky skin,Scaly patches,Discoloration,Blistering rash on hands and feet,Consult a dermatologist,Maintain hygiene,Use medicated cream,Wear loose clothing,General Physician
Dyshidrotic Eczema,Blisters .,Swelling notice,Scaly patches notice,Flaky skin severe,Redness,"Discoloration ,","Blisters . Swelling notice Scaly patches notice Flaky skin severe Redness Discoloration ,",Consult a dermatologist,Maintain hygiene,Use medicated cream,Wear loose clothing,General Physician
