Disease Name,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptoms_text,Precaution 1,Precaution 2,Precaution 3,Precaution 4,Suggested Doctor
Dyshidrotic Eczema,Blisters again,Scaly patches also,Swelling severe,Redness .,Flaky skin again,Discoloration notice,Blisters again Scaly patches also Swelling severe Redness . Flaky skin again Discoloration notice,Consult a dermatologist,Maintain hygiene,Use medicated cream,Wear loose clothing,General Physician
Dyshidrotic Eczema,Scaly patches feeling,Redness feeling,Blisters severe,"Flaky skin ,",Swelling also,Discoloration also,"Scaly patches feeling Redness feeling Blisters severe Flaky skin , Swelling also Discoloration also",Consult a dermatologist,Maintain hygiene,Use medicated cream,Wear loose clothing,General Physician
Dyshidrotic Eczema,Redness again,Blisters notice,Discoloration also,Swelling slight,Scaly patches notice,Flaky skin severe,Redness again Blisters notice Discoloration also Swelling slight Scaly patches notice Flaky skin severe,Consult a dermatologist,Maintain hygiene,Use medicated cream,Wear loose clothing,General Physician
Dyshidrotic Eczema,Blisters slight,Flaky skin feeling,Swelling severe,Redness again,"Discoloration ,","Scaly patches ,","Blisters slight Flaky skin feeling Swelling severe Redness again Discoloration , Scaly patches ,",Consult a dermatologist,Maintain hygiene,Use medicated cream,Wear loose clothing,General Physician
Dyshidrotic Eczema,Scaly patches notice,"Flaky skin ,",Redness again,Discoloration severe,Swelling severe,Blisters notice,"Scaly patches notice Flaky skin , Redness again Discoloration severe Swelling severe Blisters notice",Consult a dermatologist,Maintain hygiene,Use medicated cream,Wear loose clothing,General Physician
Dyshidrotic Eczema,Swelling slight,Discoloration slight,Blisters notice,Scaly patches feeling,Redness slight,Flaky skin again,Swelling slight Discoloration slight Blisters notice Scaly patches feeling Redness slight Flaky skin again,Consult a dermatologist,Maintain hygiene,Use medicated cream,Wear loose clothing,General Physician
Dyshidrotic Eczema,Redness also,Blisters,Scaly patches again,Discoloration feeling,Swelling severe,Flaky skin feeling,Redness also Blisters Scaly patches again Discoloration feeling Swelling severe Flaky skin feeling,Consult a dermatologist,Maintain hygiene,Use medicated cream,Wear loose clothing,General Physician
Dyshidrotic Eczema,Discoloration .,Swelling feeling,Scaly patches feeling,Redness .,Flaky skin notice,Blisters slight,Discoloration . Swelling feeling Scaly patches feeling Redness . Flaky skin notice Blisters slight,Consult a dermatologist,Maintain hygiene,Use medicated cream,Wear loose clothing,General Physician
Eczema,Dry skin,Itching,Red patches,Cracks in skin,Scaly skin,Oozing,Dry skin Itching Red patches Cracks in skin Scaly skin Oozing,Avoid irritants,Use fragrance-free lotion,Take lukewarm showers,Apply moisturizer after bathing,Dermatologist
Eczema,Cracks in skin,Itching,Red patches,Dry skin feeling,Scaly skin .,Oozing,Cracks in skin Itching Red patches Dry skin feeling Scaly skin . Oozing,Avoid irritants,Use fragrance-free lotion,Take lukewarm showers,Apply moisturizer after bathing,Dermatologist
Eczema,Red patches slight,"Oozing ,",Cracks in skin again,Itching severe,Scaly skin also,Dry skin slight,"Red patches slight Oozing , Cracks in skin again Itching severe Scaly skin also Dry skin slight",Avoid irritants,Use fragrance-free lotion,Take lukewarm showers,Apply moisturizer after bathing,Dermatologist
Eczema,Scaly skin also,"Oozing ,",Itching again,"Red patches ,",Cracks in skin again,Dry skin,"Scaly skin also Oozing , Itching again Red patches , Cracks in skin again Dry skin",Avoid irritants,Use fragrance-free lotion,Take lukewarm showers,Apply moisturizer after bathing,Dermatologist
Eczema,Red patches,"Scaly skin ,",Itching slight,Dry skin feeling,Oozing feeling,Cracks in skin feeling,"Red patches Scaly skin , Itching slight Dry skin feeling Oozing feeling Cracks in skin feeling",Avoid irritants,Use fragrance-free lotion,Take lukewarm showers,Apply moisturizer after bathing,Dermatologist
Eczema,Red patches notice,Scaly skin notice,"Itching ,",Cracks in skin .,Dry skin severe,Oozing also,"Red patches notice Scaly skin notice Itching , Cracks in skin . Dry skin severe Oozing also",Avoid irritants,Use fragrance-free lotion,Take lukewarm showers,Apply moisturizer after bathing,Dermatologist
Eczema,Oozing .,Itching,Scaly skin .,Dry skin .,Red patches,Cracks in skin again,Oozing . Itching Scaly skin . Dry skin . Red patches Cracks in skin again,Avoid irritants,Use fragrance-free lotion,Take lukewarm showers,Apply moisturizer after bathing,Dermatologist
Eczema,"Itching ,",Dry skin notice,Oozing feeling,Red patches,Cracks in skin severe,Scaly skin notice,"Itching , Dry skin notice Oozing feeling Red patches Cracks in skin severe Scaly skin notice",Avoid irritants,Use fragrance-free lotion,Take lukewarm showers,Apply moisturizer after bathing,Dermatologist
Eczema,Itching severe,Oozing again,Scaly skin again,Cracks in skin slight,Dry skin again,Red patches also,Itching severe Oozing again Scaly skin again Cracks in skin slight Dry skin again Red patches also,Avoid irritants,Use fragrance-free lotion,Take lukewarm showers,Apply moisturizer after bathing,Dermatologist
Eczema,"Dry skin ,",Cracks in skin .,Scaly skin,Red patches again,Itching severe,Oozing feeling,"Dry skin , Cracks in skin . Scaly skin Red patches again Itching severe Oozing feeling",Avoid irritants,Use fragrance-free lotion,Take lukewarm showers,Apply moisturizer after bathing,Dermatologist
Exanthems and Drug Eruptions,Widespread rash,Itching,Redness,Fever,Swelling,Peeling skin,Widespread rash Itching Redness Fever Swelling Peeling skin,Avoid suspected drug,Consult doctor immediately,Use antihistamines,Hydrate well,"Allergist, Dermatologist"
Exanthems and Drug Eruptions,Redness severe,Peeling skin feeling,"Fever ,",Itching,Widespread rash notice,Swelling again,"Redness severe Peeling skin feeling Fever , Itching Widespread rash notice Swelling again",Avoid suspected drug,Consult doctor immediately,Use antihistamines,Hydrate well,"Allergist, Dermatologist"
Exanthems and Drug Eruptions,Redness .,Fever,Swelling slight,Widespread rash,Peeling skin .,Itching notice,Redness . Fever Swelling slight Widespread rash Peeling skin . Itching notice,Avoid suspected drug,Consult doctor immediately,Use antihistamines,Hydrate well,"Allergist, Dermatologist"
Exanthems and Drug Eruptions,Widespread rash,Fever slight,Peeling skin feeling,Swelling also,Redness severe,Itching severe,Widespread rash Fever slight Peeling skin feeling Swelling also Redness severe Itching severe,Avoid suspected drug,Consult doctor immediately,Use antihistamines,Hydrate well,"Allergist, Dermatologist"
Exanthems and Drug Eruptions,Peeling skin also,"Widespread rash ,",Redness notice,Itching also,Swelling feeling,"Fever ,","Peeling skin also Widespread rash , Redness notice Itching also Swelling feeling Fever ,",Avoid suspected drug,Consult doctor immediately,Use antihistamines,Hydrate well,"Allergist, Dermatologist"
Exanthems and Drug Eruptions,Swelling notice,Itching,Redness notice,Fever feeling,Peeling skin feeling,Widespread rash severe,Swelling notice Itching Redness notice Fever feeling Peeling skin feeling Widespread rash severe,Avoid suspected drug,Consult doctor immediately,Use antihistamines,Hydrate well,"Allergist, Dermatologist"
Exanthems and Drug Eruptions,Peeling skin slight,Redness .,Widespread rash also,Itching again,Swelling notice,Fever notice,Peeling skin slight Redness . Widespread rash also Itching again Swelling notice Fever notice,Avoid suspected drug,Consult doctor immediately,Use antihistamines,Hydrate well,"Allergist, Dermatologist"
Exanthems and Drug Eruptions,Widespread rash .,Itching again,Swelling again,Redness .,Peeling skin,"Fever ,","Widespread rash . Itching again Swelling again Redness . Peeling skin Fever ,",Avoid suspected drug,Consult doctor immediately,Use antihistamines,Hydrate well,"Allergist, Dermatologist"
Exanthems and Drug Eruptions,Widespread rash,Swelling again,Fever notice,Redness also,Peeling skin severe,Itching again,Widespread rash Swelling again Fever notice Redness also Peeling skin severe Itching again,Avoid suspected drug,Consult doctor immediately,Use antihistamines,Hydrate well,"Allergist, Dermatologist"
Exanthems and Drug Eruptions,Itching notice,Widespread rash feeling,Peeling skin,Swelling slight,Redness severe,Fever severe,Itching notice Widespread rash feeling Peeling skin Swelling slight Redness severe Fever severe,Avoid suspected drug,Consult doctor immediately,Use antihistamines,Hydrate well,"Allergist, Dermatologist"
Folliculitis,Oozing,Burning sensation,Pain,Scaly patches,Blisters,Redness,Small red bumps on the chest and back,Maintain hygiene,Use antifungal soap,Consult a dermatologist,Avoid scratching,Skin Specialist
Folliculitis,Burning sensation feeling,Redness also,Pain feeling,Blisters feeling,Scaly patches slight,Oozing severe,Burning sensation feeling Redness also Pain feeling Blisters feeling Scaly patches slight Oozing severe,Maintain hygiene,Use antifungal soap,Consult a dermatologist,Avoid scratching,Skin Specialist
Folliculitis,Pain severe,Scaly patches .,Oozing again,"Burning sensation ,",Redness feeling,Blisters also,"Pain severe Scaly patches . Oozing again Burning sensation , Redness feeling Blisters also",Maintain hygiene,Use antifungal soap,Consult a dermatologist,Avoid scratching,Skin Specialist
Folliculitis,Blisters also,Burning sensation also,Redness,Scaly patches notice,Pain,"Oozing ,","Blisters also Burning sensation also Redness Scaly patches notice Pain Oozing ,",Maintain hygiene,Use antifungal soap,Consult a dermatologist,Avoid scratching,Skin Specialist
Folliculitis,Scaly patches severe,Blisters again,Oozing feeling,Redness notice,Pain severe,Burning sensation feeling,Scaly patches severe Blisters again Oozing feeling Redness notice Pain severe Burning sensation feeling,Maintain hygiene,Use antifungal soap,Consult a dermatologist,Avoid scratching,Skin Specialist
Folliculitis,Burning sensation .,Pain feeling,Scaly patches notice,Oozing severe,"Redness ,",Blisters,"Burning sensation . Pain feeling Scaly patches notice Oozing severe Redness , Blisters",Maintain hygiene,Use antifungal soap,Consult a dermatologist,Avoid scratching,Skin Specialist
Folliculitis,Redness also,Oozing also,Burning sensation .,Pain severe,"Blisters ,",Scaly patches feeling,"Redness also Oozing also Burning sensation . Pain severe Blisters , Scaly patches feeling",Maintain hygiene,Use antifungal soap,Consult a dermatologist,Avoid scratching,Skin Specialist
Folliculitis,Oozing notice,"Redness ,",Burning sensation,Scaly patches feeling,Blisters feeling,Pain feeling,"Oozing notice Redness , Burning sensation Scaly patches feeling Blisters feeling Pain feeling",Maintain hygiene,Use antifungal soap,Consult a dermatologist,Avoid scratching,Skin Specialist
Folliculitis,Scaly patches notice,Blisters slight,Pain also,Burning sensation again,Oozing severe,Redness also,Scaly patches notice Blisters slight Pain also Burning sensation again Oozing severe Redness also,Maintain hygiene,Use antifungal soap,Consult a dermatologist,Avoid scratching,Skin Specialist
Folliculitis,"Redness ,",Scaly patches slight,Burning sensation severe,"Blisters ,",Pain also,"Oozing ,","Redness , Scaly patches slight Burning sensation severe Blisters , Pain also Oozing ,",Maintain hygiene,Use antifungal soap,Consult a dermatologist,Avoid scratching,Skin Specialist
"Herpes, HPV, STDs",Blisters,Painful sores,Burning sensation,Genital itching,Skin warts,Swollen lymph nodes,Blisters Painful sores Burning sensation Genital itching Skin warts Swollen lymph nodes,Practice safe sex,Avoid direct contact,Take antiviral medication,Consult a doctor regularly,"Dermatologist, Infectious Disease Specialist"
"Herpes, HPV, STDs",Skin warts .,Blisters .,Painful sores feeling,"Genital itching ,",Burning sensation,Swollen lymph nodes severe,"Skin warts . Blisters . Painful sores feeling Genital itching , Burning sensation Swollen lymph nodes severe",Practice safe sex,Avoid direct contact,Take antiviral medication,Consult a doctor regularly,"Dermatologist, Infectious Disease Specialist"
"Herpes, HPV, STDs",Painful sores also,Swollen lymph nodes also,Skin warts slight,Genital itching again,Burning sensation notice,Blisters .,Painful sores also Swollen lymph nodes also Skin warts slight Genital itching again Burning sensation notice Blisters .,Practice safe sex,Avoid direct contact,Take antiviral medication,Consult a doctor regularly,"Dermatologist, Infectious Disease Specialist"
"Herpes, HPV, STDs",Blisters feeling,Painful sores severe,Swollen lymph nodes feeling,Genital itching,Burning sensation again,Skin warts notice,Blisters feeling Painful sores severe Swollen lymph nodes feeling Genital itching Burning sensation again Skin warts notice,Practice safe sex,Avoid direct contact,Take antiviral medication,Consult a doctor regularly,"Dermatologist, Infectious Disease Specialist"
"Herpes, HPV, STDs",Genital itching severe,Skin warts,Swollen lymph nodes .,Blisters slight,"Burning sensation ,","Painful sores ,","Genital itching severe Skin warts Swollen lymph nodes . Blisters slight Burning sensation , Painful sores ,",Practice safe sex,Avoid direct contact,Take antiviral medication,Consult a doctor regularly,"Dermatologist, Infectious Disease Specialist"
"Herpes, HPV, STDs",Swollen lymph nodes,Blisters .,Painful sores also,Burning sensation slight,Skin warts again,Genital itching again,Swollen lymph nodes Blisters . Painful sores also Burning sensation slight Skin warts again Genital itching again,Practice safe sex,Avoid direct contact,Take antiviral medication,Consult a doctor regularly,"Dermatologist, Infectious Disease Specialist"
"Herpes, HPV, STDs",Skin warts slight,Blisters slight,Swollen lymph nodes slight,Painful sores also,Burning sensation feeling,Genital itching feeling,Skin warts slight Blisters slight Swollen lymph nodes slight Painful sores also Burning sensation feeling Genital itching feeling,Practice safe sex,Avoid direct contact,Take antiviral medication,Consult a doctor regularly,"Dermatologist, Infectious Disease Specialist"
"Herpes, HPV, STDs",Skin warts again,Blisters also,Burning sensation also,Genital itching feeling,Swollen lymph nodes feeling,Painful sores again,Skin warts again Blisters also Burning sensation also Genital itching feeling Swollen lymph nodes feeling Painful sores again,Practice safe sex,Avoid direct contact,Take antiviral medication,Consult a doctor regularly,"Dermatologist, Infectious Disease Specialist"
"Herpes, HPV, STDs",Burning sensation again,Swollen lymph nodes slight,Painful sores notice,Skin warts slight,Genital itching,Blisters severe,Burning sensation again Swollen lymph nodes slight Painful sores notice Skin warts slight Genital itching Blisters severe,Practice safe sex,Avoid direct contact,Take antiviral medication,Consult a doctor regularly,"Dermatologist, Infectious Disease Specialist"
"Herpes, HPV, STDs",Swollen lymph nodes notice,"Skin warts ,",Burning sensation also,"Blisters ,",Genital itching slight,Painful sores again,"Swollen lymph nodes notice Skin warts , Burning sensation also Blisters , Genital itching slight Painful sores again",Practice safe sex,Avoid direct contact,Take antiviral medication,Consult a doctor regularly,"Dermatologist, Infectious Disease Specialist"
Hyperpigmentation,Swelling,Itching,Scaly patches,Redness,Pain,Blisters,Dark discoloration around the eyes,Stay hydrated,Consult a dermatologist,Maintain hygiene,Use antifungal soap,Immunologist
Hyperpigmentation,Swelling also,Pain feeling,Blisters feeling,Redness slight,Scaly patches feeling,Itching also,Swelling also Pain feeling Blisters feeling Redness slight Scaly patches feeling Itching also,Stay hydrated,Consult a dermatologist,Maintain hygiene,Use antifungal soap,Immunologist
Hyperpigmentation,Redness .,Swelling feeling,Pain slight,Blisters feeling,Itching,Scaly patches,Redness . Swelling feeling Pain slight Blisters feeling Itching Scaly patches,Stay hydrated,Consult a dermatologist,Maintain hygiene,Use antifungal soap,Immunologist
Hyperpigmentation,Redness severe,Blisters .,Scaly patches,Swelling severe,Itching feeling,Pain slight,Redness severe Blisters . Scaly patches Swelling severe Itching feeling Pain slight,Stay hydrated,Consult a dermatologist,Maintain hygiene,Use antifungal soap,Immunologist
Hyperpigmentation,Blisters feeling,Pain notice,Swelling again,Redness again,Scaly patches feeling,Itching again,Blisters feeling Pain notice Swelling again Redness again Scaly patches feeling Itching again,Stay hydrated,Consult a dermatologist,Maintain hygiene,Use antifungal soap,Immunologist
Hyperpigmentation,"Itching ,",Pain again,Redness notice,Scaly patches slight,Swelling feeling,Blisters also,"Itching , Pain again Redness notice Scaly patches slight Swelling feeling Blisters also",Stay hydrated,Consult a dermatologist,Maintain hygiene,Use antifungal soap,Immunologist
Hyperpigmentation,Redness slight,Swelling also,Pain again,"Itching ,",Scaly patches again,Blisters slight,"Redness slight Swelling also Pain again Itching , Scaly patches again Blisters slight",Stay hydrated,Consult a dermatologist,Maintain hygiene,Use antifungal soap,Immunologist
Hyperpigmentation,Blisters severe,Scaly patches also,Itching,"Pain ,",Swelling,Redness again,"Blisters severe Scaly patches also Itching Pain , Swelling Redness again",Stay hydrated,Consult a dermatologist,Maintain hygiene,Use antifungal soap,Immunologist
Hyperpigmentation,Redness .,Blisters feeling,Itching .,Swelling,Pain also,Scaly patches slight,Redness . Blisters feeling Itching . Swelling Pain also Scaly patches slight,Stay hydrated,Consult a dermatologist,Maintain hygiene,Use antifungal soap,Immunologist
Hyperpigmentation,Swelling,Pain feeling,Redness feeling,Scaly patches .,Itching slight,Blisters severe,Swelling Pain feeling Redness feeling Scaly patches . Itching slight Blisters severe,Stay hydrated,Consult a dermatologist,Maintain hygiene,Use antifungal soap,Immunologist
Ichthyosis,Itching,Burning sensation,Scaly patches,Oozing,Pain,Flaky skin,"Dry, scaly skin on arms and legs",Avoid allergens,Avoid sun exposure,Consult a dermatologist,Wear loose clothing,Immunologist
Ichthyosis,Flaky skin feeling,Burning sensation again,Itching severe,Oozing slight,Pain slight,"Scaly patches ,","Flaky skin feeling Burning sensation again Itching severe Oozing slight Pain slight Scaly patches ,",Avoid allergens,Avoid sun exposure,Consult a dermatologist,Wear loose clothing,Immunologist
Ichthyosis,Scaly patches feeling,Burning sensation feeling,Pain notice,Itching severe,Oozing severe,Flaky skin,Scaly patches feeling Burning sensation feeling Pain notice Itching severe Oozing severe Flaky skin,Avoid allergens,Avoid sun exposure,Consult a dermatologist,Wear loose clothing,Immunologist
Ichthyosis,Flaky skin notice,"Pain ,",Itching,Scaly patches feeling,Oozing feeling,Burning sensation feeling,"Flaky skin notice Pain , Itching Scaly patches feeling Oozing feeling Burning sensation feeling",Avoid allergens,Avoid sun exposure,Consult a dermatologist,Wear loose clothing,Immunologist
Ichthyosis,Scaly patches severe,Burning sensation again,Oozing severe,Flaky skin notice,Pain notice,Itching severe,Scaly patches severe Burning sensation again Oozing severe Flaky skin notice Pain notice Itching severe,Avoid allergens,Avoid sun exposure,Consult a dermatologist,Wear loose clothing,Immunologist
Ichthyosis,Burning sensation notice,Itching .,Pain .,Oozing,Flaky skin notice,Scaly patches severe,Burning sensation notice Itching . Pain . Oozing Flaky skin notice Scaly patches severe,Avoid allergens,Avoid sun exposure,Consult a dermatologist,Wear loose clothing,Immunologist
Ichthyosis,Burning sensation severe,Itching slight,Oozing .,"Flaky skin ,",Pain again,Scaly patches again,"Burning sensation severe Itching slight Oozing . Flaky skin , Pain again Scaly patches again",Avoid allergens,Avoid sun exposure,Consult a dermatologist,Wear loose clothing,Immunologist
Ichthyosis,Burning sensation feeling,Scaly patches severe,Flaky skin,Itching severe,Oozing also,Pain again,Burning sensation feeling Scaly patches severe Flaky skin Itching severe Oozing also Pain again,Avoid allergens,Avoid sun exposure,Consult a dermatologist,Wear loose clothing,Immunologist
Ichthyosis,"Itching ,",Oozing,Burning sensation notice,Pain feeling,"Scaly patches ,",Flaky skin feeling,"Itching , Oozing Burning sensation notice Pain feeling Scaly patches , Flaky skin feeling",Avoid allergens,Avoid sun exposure,Consult a dermatologist,Wear loose clothing,Immunologist
Ichthyosis,Scaly patches slight,Burning sensation,Flaky skin also,Pain severe,Oozing also,Itching feeling,Scaly patches slight Burning sensation Flaky skin also Pain severe Oozing also Itching feeling,Avoid allergens,Avoid sun exposure,Consult a dermatologist,Wear loose clothing,Immunologist
Impetigo,Flaky skin,Itching,Discoloration,Redness,Swelling,Pain,Blisters around the mouth and nose,Consult a dermatologist,Avoid allergens,Use medicated cream,Avoid scratching,Immunologist
Impetigo,Itching,Swelling,Scaly patches,Oozing,Pain,Burning sensation,Crusty blisters and honey-colored scabs on face,Consult a dermatologist,Avoid scratching,Stay hydrated,Use antifungal soap,General Physician
Impetigo,Redness .,Pain notice,Itching slight,Flaky skin,Swelling notice,"Discoloration ,","Redness . Pain notice Itching slight Flaky skin Swelling notice Discoloration ,",Consult a dermatologist,Avoid allergens,Use medicated cream,Avoid scratching,Immunologist
Impetigo,Oozing severe,Burning sensation .,Itching .,Scaly patches slight,Pain,Swelling slight,Oozing severe Burning sensation . Itching . Scaly patches slight Pain Swelling slight,Consult a dermatologist,Avoid scratching,Stay hydrated,Use antifungal soap,General Physician
Impetigo,Swelling .,Burning sensation .,Itching feeling,Scaly patches slight,Pain,Oozing feeling,Swelling . Burning sensation . Itching feeling Scaly patches slight Pain Oozing feeling,Consult a dermatologist,Avoid scratching,Stay hydrated,Use antifungal soap,General Physician
Impetigo,Swelling .,Redness also,Pain notice,Flaky skin notice,Discoloration also,"Itching ,","Swelling . Redness also Pain notice Flaky skin notice Discoloration also Itching ,",Consult a dermatologist,Avoid allergens,Use medicated cream,Avoid scratching,Immunologist
Impetigo,Oozing also,Itching,Burning sensation feeling,Swelling feeling,Scaly patches severe,Pain also,Oozing also Itching Burning sensation feeling Swelling feeling Scaly patches severe Pain also,Consult a dermatologist,Avoid scratching,Stay hydrated,Use antifungal soap,General Physician
Impetigo,Oozing again,Swelling feeling,Burning sensation also,Itching feeling,Pain notice,Scaly patches again,Oozing again Swelling feeling Burning sensation also Itching feeling Pain notice Scaly patches again,Consult a dermatologist,Avoid scratching,Stay hydrated,Use antifungal soap,General Physician
Impetigo,Itching again,"Redness ,",Swelling .,Discoloration .,Flaky skin notice,"Pain ,","Itching again Redness , Swelling . Discoloration . Flaky skin notice Pain ,",Consult a dermatologist,Avoid allergens,Use medicated cream,Avoid scratching,Immunologist
Impetigo,Flaky skin notice,"Itching ,","Redness ,",Swelling .,Discoloration,Pain slight,"Flaky skin notice Itching , Redness , Swelling . Discoloration Pain slight",Consult a dermatologist,Avoid allergens,Use medicated cream,Avoid scratching,Immunologist
Intertrigo,Pain,Redness,Flaky skin,Discoloration,Swelling,Oozing,Itchy rash in moist body folds,Keep skin moisturized,Use antifungal soap,Consult a dermatologist,Avoid allergens,General Physician
Intertrigo,Oozing .,"Pain ,",Flaky skin .,Redness severe,Swelling again,Discoloration again,"Oozing . Pain , Flaky skin . Redness severe Swelling again Discoloration again",Keep skin moisturized,Use antifungal soap,Consult a dermatologist,Avoid allergens,General Physician
Intertrigo,Discoloration also,Oozing slight,Flaky skin .,Swelling notice,Pain also,Redness again,Discoloration also Oozing slight Flaky skin . Swelling notice Pain also Redness again,Keep skin moisturized,Use antifungal soap,Consult a dermatologist,Avoid allergens,General Physician
Intertrigo,Discoloration feeling,Redness slight,Swelling also,Flaky skin also,Pain also,"Oozing ,","Discoloration feeling Redness slight Swelling also Flaky skin also Pain also Oozing ,",Keep skin moisturized,Use antifungal soap,Consult a dermatologist,Avoid allergens,General Physician
Intertrigo,Oozing notice,Redness severe,Flaky skin slight,Pain again,"Swelling ,",Discoloration also,"Oozing notice Redness severe Flaky skin slight Pain again Swelling , Discoloration also",Keep skin moisturized,Use antifungal soap,Consult a dermatologist,Avoid allergens,General Physician
Intertrigo,Pain also,Flaky skin notice,Redness,Swelling also,Discoloration notice,Oozing .,Pain also Flaky skin notice Redness Swelling also Discoloration notice Oozing .,Keep skin moisturized,Use antifungal soap,Consult a dermatologist,Avoid allergens,General Physician
Intertrigo,Oozing also,Flaky skin .,Pain feeling,Redness slight,Discoloration notice,Swelling feeling,Oozing also Flaky skin . Pain feeling Redness slight Discoloration notice Swelling feeling,Keep skin moisturized,Use antifungal soap,Consult a dermatologist,Avoid allergens,General Physician
Intertrigo,Swelling slight,Redness feeling,Discoloration,Flaky skin severe,Oozing slight,Pain slight,Swelling slight Redness feeling Discoloration Flaky skin severe Oozing slight Pain slight,Keep skin moisturized,Use antifungal soap,Consult a dermatologist,Avoid allergens,General Physician
Intertrigo,Discoloration severe,Pain feeling,Flaky skin notice,Redness also,Swelling notice,"Oozing ,","Discoloration severe Pain feeling Flaky skin notice Redness also Swelling notice Oozing ,",Keep skin moisturized,Use antifungal soap,Consult a dermatologist,Avoid allergens,General Physician
Intertrigo,Oozing,Discoloration notice,Pain severe,Flaky skin .,Swelling .,Redness again,Oozing Discoloration notice Pain severe Flaky skin . Swelling . Redness again,Keep skin moisturized,Use antifungal soap,Consult a dermatologist,Avoid allergens,General Physician
